half_window,metric,break_date,delta_pp
126,us_volume_share,2022-08-11,-1.0167564421718955
126,us_volume_share,2022-08-18,-0.7907795408372276
126,us_volume_share,2022-08-25,0.4816788831803809
126,us_volume_share,2022-09-01,0.4816788831803809
126,us_volume_share,2022-09-09,1.0082206986566256
126,us_volume_share,2022-09-16,1.3842384031887867
126,us_volume_share,2022-09-23,0.9015588738624736
126,us_volume_share,2022-09-30,1.0082206986566256
126,us_volume_share,2022-10-07,0.6840327543017222
126,us_volume_share,2022-10-14,-0.6171669625468446
126,us_volume_share,2022-10-21,-0.7293510895747257
126,us_volume_share,2022-10-28,-0.408823896630206
126,us_volume_share,2022-11-04,-0.24804437064984697
126,us_volume_share,2022-11-11,-0.24804437064984697
126,us_volume_share,2022-11-18,0.751171777409293
126,us_volume_share,2022-11-28,1.7514820785569318
126,us_volume_share,2022-12-05,2.391777565247488
126,us_volume_share,2022-12-12,2.5518821472827744
126,us_volume_share,2022-12-19,2.604388879087005
126,us_volume_share,2022-12-27,3.279806634179727
126,us_volume_share,2023-01-04,3.349317769055432
126,us_volume_share,2023-01-11,3.151443296152739
126,us_volume_share,2023-01-19,3.0834822706467535
126,us_volume_share,2023-01-26,3.295344207460521
126,us_volume_share,2023-02-02,3.3550311270988953
126,us_volume_share,2023-02-09,3.5709463758676563
126,us_volume_share,2023-02-16,3.8827527917165594
126,us_volume_share,2023-02-24,3.6460635320817114
126,us_volume_share,2023-03-03,3.421253611056274
126,us_volume_share,2023-03-10,3.0806948822715174
126,us_volume_share,2023-03-17,2.836266238529012
126,us_volume_share,2023-03-27,2.8052490497230744
126,us_volume_share,2023-04-03,2.8052490497230744
126,us_volume_share,2023-04-11,3.3103139649803106
126,us_volume_share,2023-04-18,4.217199386666137
126,us_volume_share,2023-04-25,3.941069562754562
126,us_volume_share,2023-05-02,4.016682278526485
126,us_volume_share,2023-05-09,3.9524695946075883
126,us_volume_share,2023-05-16,3.9524695946075883
126,us_volume_share,2023-05-23,3.5420392322144445
126,us_volume_share,2023-05-31,2.772702048500114
126,us_volume_share,2023-06-07,2.4140816525333286
126,us_volume_share,2023-06-14,2.062805003275309
126,us_volume_share,2023-06-22,1.9059988008641338
126,us_volume_share,2023-06-29,-0.020458211421370276
126,us_volume_share,2023-07-07,-0.1582997035252609
126,us_trade_share,2022-07-14,-1.7362806668575703
126,us_trade_share,2022-07-21,-1.7362806668575703
126,us_trade_share,2022-07-28,-1.72831660114654
126,us_trade_share,2022-08-04,-1.6093204144989215
126,us_trade_share,2022-08-11,-0.6675292606941385
126,us_trade_share,2022-08-18,-0.44592639882074514
126,us_trade_share,2022-08-25,0.6544117409733208
126,us_trade_share,2022-09-01,0.45889930036399074
126,us_trade_share,2022-09-09,-0.024127590120648357
